RequestedISIN;RequestedDate;referenceDate;compositeLiquidityScore;concentrationWeightedLiquidityScore;holdingScore;turnoverScore;isin;amountType;ecbTiering;ecbHaircut;optionFlag;zeroCouponFlag;couponPaymentDate;couponRecordDate;interestPeriodStartDate;interestPeriodEndDate;couponPaymentFrequency;rateType;couponInterestRate;couponGrossAmount;aggregatedHoldingData.freeFloatHolding;aggregatedHoldingData.freeFloatHoldingEur;aggregatedHoldingData.freeFloatMarketValueEur;aggregatedHoldingData.concentration;aggregatedHoldingData.averageHoldingSizeEur;aggregatedHoldingData.averageHoldingSizeMarketValueEur;aggregatedHoldingData.medianHoldingSizeEur;aggregatedHoldingData.medianHoldingSizeMarketValueEur;aggregatedHoldingData.simpleMovingAverage['30'].concentration;aggregatedHoldingData.simpleMovingAverage['30'].concentrationDelta;aggregatedHoldingData.simpleMovingAverage['30'].freeFloatHolding;aggregatedHoldingData.simpleMovingAverage['30'].freeFloatHoldingDelta;aggregatedHoldingData.simpleMovingAverage['30'].averageHoldingSize;aggregatedHoldingData.simpleMovingAverage['30'].averageHoldingSizeDelta;aggregatedHoldingData.simpleMovingAverage['30'].medianHoldingSize;aggregatedHoldingData.simpleMovingAverage['30'].medianHoldingSizeDelta;aggregatedTransactionData.totalVolCurrentBD.volumeEur;aggregatedTransactionData.totalVolNext1BD.volumeEur;aggregatedTransactionData.totalVolNext2BD.volumeEur;aggregatedTransactionData.transactionCount;aggregatedTransactionData.averageTicketSizeEur;aggregatedTransactionData.averageGrossSettlementPriceEur;aggregatedTransactionData.medianTicketSizeEur;aggregatedTransactionData.medianGrossSettlementPriceEur;aggregatedTransactionData.settlementVWAPEur;aggregatedTransactionData.simpleMovingAverage['30'].concentration;aggregatedTransactionData.simpleMovingAverage['30'].concentrationDelta;aggregatedTransactionData.simpleMovingAverage['30'].volume;aggregatedTransactionData.simpleMovingAverage['30'].volumeDelta;aggregatedTransactionData.simpleMovingAverage['30'].averageTicketSize;aggregatedTransactionData.simpleMovingAverage['30'].averageTicketSizeDelta;aggregatedTransactionData.simpleMovingAverage['30'].medianTicketSize;aggregatedTransactionData.simpleMovingAverage['30'].medianTicketSizeDelta;aggregatedTransactionData.simpleMovingAverage['30'].averageGrossSettlementPrice;aggregatedTransactionData.simpleMovingAverage['30'].averageGrossSettlementPriceDelta;aggregatedTransactionData.simpleMovingAverage['30'].medianGrossSettlementPrice;aggregatedTransactionData.simpleMovingAverage['30'].medianGrossSettlementPriceDelta;aggregatedTransactionData.simpleMovingAverage['30'].settlementVWAP;aggregatedTransactionData.simpleMovingAverage['30'].settlementVWAPDelta;transaction.transactionId;transaction.transactionDate;transaction.settlementDate;transaction.transactionType;transaction.transactionStatus;transaction.quantity;transaction.quantityUnit;transaction.cashAmount;transaction.cashSettlementCurrency;transaction.grossSettlementPrice;transaction.receivingPartyType;transaction.deliveringPartyType
AT0000A33SH3;2023-08-31;2023-08-31T00:00:00;0.9188640974;0.9350912779;0.8073022312;0.8945233266;AT0000A33SH3;A;T1;H01.50;N;N;2026-05-23T00:00:00;2026-05-22T00:00:00;2025-05-23T00:00:00;2026-05-23T00:00:00;ANNUA;FIX;2.9;29.0;1.324654E9;1.324654E9;1.3258682573357E9;71.0;1.86570985915E7;1.86742008075E7;2170000.0;2171989.1522;76.0;0.0;1.3594651666667E9;-0.0256;1.76840276386E7;0.055;2031816.6667;0.068;6.7947E7;1.84151E8;1.91607E8;13.0;5226692.3077;100.7458;28000.0;100.7358;100.7525;20.0;0.0;9.4021E7;-0.2773;5273153.5649;-0.0088;351233.3333;-0.9203;100.4077;0.0034;100.5059;0.0023;100.2666;0.0048;;;;;;;;;;;;
AT0000A34QR4;2023-08-31;2023-08-31T00:00:00;0.9431771049;0.9759435919;0.9912899212;0.9742845292;AT0000A34QR4;A;T1;H14.00;N;N;2026-05-30T00:00:00;2026-05-29T00:00:00;2025-05-30T00:00:00;2026-05-30T00:00:00;ANNUA;FIX;4.25;42.5;1.689E8;1.689E8;1.69106058E8;39.0;4330769.2308;4336052.7692;1200000.0;1201464.0;39.0;0.0;1.608233333333E8;0.0502;4097656.265;0.0569;1028333.3333;0.1669;800000.0;;;4.0;200000.0;100.7459;150000.0;100.7459;100.7459;3.0;0.0;2603333.3333;-0.6927;464727.8245;-0.5696;300000.0;-0.5;73.8854;0.3635;73.9083;0.3631;73.811;0.3649;;;;;;;;;;;;
AT0000A32562;2023-08-31;2023-08-31T00:00:00;0.926171713;0.969722107;0.9970966404;0.9734549979;AT0000A32562;A;T1;H14.00;N;N;2026-01-16T00:00:00;2026-01-15T00:00:00;2025-01-16T00:00:00;2026-01-16T00:00:00;ANNUA;FIX;4.0;40.0;2.333E8;2.333E8;2.300487312E8;54.0;4320370.3704;4260161.6889;1750000.0;1725612.0;54.0;0.0;2.3284E8;0.002;4315783.6186;0.0011;1733333.3333;0.0096;900000.0;200000.0;300000.0;6.0;150000.0;101.0876;100000.0;101.0876;101.1042;;;893333.3333;0.0075;;;;;;;;;63.9654;0.5806;;;;;;;;;;;;
AT0000A326N4;2023-08-31;2023-08-31T00:00:00;0.8859394442;0.909166321;0.9456656989;0.9211945251;AT0000A326N4;A;T1;H02.50;N;N;2026-01-31T00:00:00;2026-01-30T00:00:00;2025-01-31T00:00:00;2026-01-31T00:00:00;ANNUA;FIX;3.125;31.25;4.97E7;4.97E7;4.88637975E7;6.0;8283333.3333;8143966.25;2500000.0;2457937.5;6.0;0.0;5.012E7;-0.0084;8030158.7301;0.0315;2233333.3333;0.1194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A2XLD9;2023-08-31;2023-08-31T00:00:00;0.8021567814;0.8166735794;0.9469099959;0.8602239735;AT0000A2XLD9;A;T1;H01.50;N;N;2026-04-28T00:00:00;2026-04-27T00:00:00;2025-04-28T00:00:00;2026-04-28T00:00:00;ANNUA;FIX;1.375;13.75;1.078E8;1.078E8;1.0006535E8;7.0;1.54E7;1.429505E7;2000000.0;1856500.0;7.0;0.0;1.078566666667E8;-5.0E-4;1.54080952381E7;-5.0E-4;2006666.6667;-0.0033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A32562;2023-08-30;2023-08-30T00:00:00;0.8570835064;0.9792272538;0.9979227254;0.9534690486;AT0000A32562;A;T1;H14.00;N;N;2026-01-16T00:00:00;2026-01-15T00:00:00;2025-01-16T00:00:00;2026-01-16T00:00:00;ANNUA;FIX;4.0;40.0;2.332E8;2.332E8;2.290499728E8;55.0;4240000.0;4164544.96;1700000.0;1669746.8;54.0;0.0;2.3278E8;0.0018;4314672.5075;-0.0173;1733333.3333;-0.0192;200000.0;900000.0;200000.0;;;;;;;;;903333.3333;-0.7786;;;;;;;;;63.915;-1.0;;;;;;;;;;;;
AT0000A33SH3;2023-08-30;2023-08-30T00:00:00;0.9695740365;0.9756592292;0.799188641;0.9614604462;AT0000A33SH3;A;T1;H01.50;N;N;2026-05-23T00:00:00;2026-05-22T00:00:00;2025-05-23T00:00:00;2026-05-23T00:00:00;ANNUA;FIX;2.9;29.0;1.341512E9;1.341512E9;1.33633376368E9;77.0;1.74222337662E7;1.73549839439E7;2000000.0;1992280.0;77.0;0.0;1.3591661666667E9;-0.013;1.76172652805E7;-0.0111;2026150.0;-0.0129;1.16965E8;6.7947E7;1.84151E8;14.0;8354642.8571;100.683;2224000.0;100.8498;100.6548;20.0;0.0;9.26921666667E7;0.2619;5165792.3928;0.6173;352366.6667;5.3116;100.4046;0.0028;100.5085;0.0034;100.2708;0.0038;;;;;;;;;;;;
AT0000A2XLD9;2023-08-30;2023-08-30T00:00:00;0.8026589115;0.8180307437;0.9480681346;0.8608226007;AT0000A2XLD9;A;T1;H01.50;N;N;2026-04-28T00:00:00;2026-04-27T00:00:00;2025-04-28T00:00:00;2026-04-28T00:00:00;ANNUA;FIX;1.375;13.75;1.078E8;1.078E8;9.975812E7;7.0;1.54E7;1.425116E7;2000000.0;1850800.0;7.0;0.0;1.078633333333E8;-6.0E-4;1.54090476191E7;-6.0E-4;2006666.6667;-0.0033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A34QR4;2023-08-30;2023-08-30T00:00:00;0.8412962194;0.9530535937;0.9887827171;0.9310344828;AT0000A34QR4;A;T1;H14.00;N;N;2026-05-30T00:00:00;2026-05-29T00:00:00;2025-05-30T00:00:00;2026-05-30T00:00:00;ANNUA;FIX;4.25;42.5;1.689E8;1.689E8;1.6820751E8;40.0;4222500.0;4205187.75;1100000.0;1095490.0;39.0;0.0;1.6096E8;0.0493;4093947.6971;0.0314;1021666.6667;0.0767;;800000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AT0000A326N4;2023-08-30;2023-08-30T00:00:00;0.8932280848;0.9110926464;0.9472372248;0.9252181138;AT0000A326N4;A;T1;H02.50;N;N;2026-01-31T00:00:00;2026-01-30T00:00:00;2025-01-31T00:00:00;2026-01-31T00:00:00;ANNUA;FIX;3.125;31.25;4.97E7;4.97E7;4.8733335E7;6.0;8283333.3333;8122222.5;2500000.0;2451375.0;6.0;0.0;5.016E7;-0.0092;7996428.5714;0.0359;2200000.0;0.1364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
